Month,Route,Time,Day,Incident,Station ID,Min Delay
1,505,828,Tuesday,General Delay,2161,0
1,505,850,Tuesday,Utilized Off Route,14639,0
1,505,1059,Tuesday,Mechanical,2194,0
1,501,1125,Tuesday,Mechanical,6849,0
1,504,1254,Tuesday,Investigation,1760,0
1,504,1428,Tuesday,Held By,4181,0
1,510,49,Wednesday,Mechanical,14816,0
1,505,500,Wednesday,Mechanical,2152,0
1,505,519,Wednesday,General Delay,2194,0
1,506,533,Wednesday,Mechanical,814,0
1,501,732,Wednesday,Mechanical,6847,0
1,505,896,Wednesday,Investigation,2161,0
1,504,913,Wednesday,Mechanical,6849,0
1,504,924,Wednesday,Mechanical,14665,0
1,504,949,Wednesday,Mechanical,15038,0
1,505,964,Wednesday,Mechanical,2161,0
1,512,1049,Wednesday,Investigation,8153,0
1,512,1078,Wednesday,Investigation,8189,0
1,505,1115,Wednesday,Utilized Off Route,14639,0
1,506,1320,Wednesday,Mechanical,845,0
1,506,1409,Wednesday,Held By,814,0
1,511,1418,Wednesday,Mechanical,14619,0
1,512,100,Thursday,Mechanical,14606,1
1,512,320,Thursday,Held By,14778,0
1,512,375,Thursday,Held By,14778,0
1,506,470,Thursday,Late Leaving Garage,14741,0
1,504,489,Thursday,Investigation,15635,0
1,504,536,Thursday,Mechanical,4141,0
1,505,714,Thursday,General Delay,2194,0
1,510,879,Thursday,Mechanical,7355,0
1,511,903,Thursday,Held By,186,0
1,505,1166,Thursday,Mechanical,2194,0
1,505,1215,Thursday,Emergency Services,14639,0
1,504,369,Friday,Mechanical,4149,0
1,505,632,Friday,General Delay,2194,0
1,506,713,Friday,Mechanical,823,1
1,505,722,Friday,Utilized Off Route,2141,0
1,501,787,Friday,Investigation,3036,0
1,506,813,Friday,Mechanical,823,0
1,501,833,Friday,Mechanical,6523,0
1,512,974,Friday,Emergency Services,14778,0
1,512,1035,Friday,Mechanical,14778,0
1,501,1080,Friday,Investigation,3074,0
1,501,1103,Friday,Held By,3033,0
1,506,1218,Friday,Investigation,1090,0
1,512,1238,Friday,Mechanical,8153,0
1,506,1412,Friday,Held By,827,0
1,501,1439,Friday,Emergency Services,6523,0
2,504,148,Saturday,Emergency Services,2150,0
2,504,159,Saturday,Held By,15637,0
2,504,388,Saturday,Held By,4188,0
2,506,561,Saturday,Investigation,1079,1
2,506,574,Saturday,Overhead - Pantograph,1082,0
2,505,610,Saturday,Mechanical,2194,0
2,501,700,Saturday,Mechanical,6849,0
2,501,890,Saturday,Mechanical,3049,0
2,505,910,Saturday,Mechanical,14639,0
2,505,1120,Saturday,Investigation,2131,0
2,504,1279,Saturday,Emergency Services,14665,0
2,511,11,Sunday,Mechanical,14619,0
2,501,965,Sunday,General Delay,6523,0
2,504,1058,Sunday,Diversion,4156,0
2,504,1405,Sunday,Mechanical,4149,0
2,511,40,Monday,Mechanical,148,0
2,504,94,Monday,Mechanical,14665,0
2,512,427,Monday,Mechanical,11715,1
2,506,480,Monday,Mechanical,760,0
2,506,616,Monday,Investigation,1117,0
2,506,636,Monday,Investigation,14741,0
2,501,734,Monday,Mechanical,3071,0
2,503,821,Monday,Mechanical,2839,0
2,501,865,Monday,Mechanical,14977,0
2,501,892,Monday,Mechanical,3049,0
2,511,898,Monday,Mechanical,14619,0
2,506,901,Monday,Mechanical,1155,0
2,503,954,Monday,Late Leaving Garage,14058,0
2,504,996,Monday,Investigation,12538,0
2,506,1054,Monday,Mechanical,986,0
2,510,1349,Monday,Held By,11985,1
2,501,1393,Monday,Investigation,6838,0
2,504,1415,Monday,Investigation,14665,0
2,504,36,Tuesday,Mechanical,14640,0
2,510,46,Tuesday,Mechanical,14816,0
2,506,72,Tuesday,Held By,825,0
2,506,190,Tuesday,Mechanical,14741,0
2,504,460,Tuesday,Mechanical,3374,0
2,505,612,Tuesday,General Delay,14639,0
2,506,645,Tuesday,Mechanical,1252,0
2,511,648,Tuesday,Mechanical,110,1
2,504,670,Tuesday,Utilized Off Route,4149,0
2,512,734,Tuesday,Investigation,14778,0
2,506,853,Tuesday,Mechanical,1086,0
2,501,881,Tuesday,Mechanical,15337,0
2,501,903,Tuesday,Mechanical,6523,0
2,503,977,Tuesday,Mechanical,2839,0
2,505,1003,Tuesday,Mechanical,2194,0
2,503,1029,Tuesday,Investigation,14058,0
2,506,1043,Tuesday,Investigation,838,0
2,501,1058,Tuesday,Mechanical,6523,0
2,506,1356,Tuesday,Investigation,986,0
2,504,1428,Tuesday,Held By,4181,0
2,501,43,Wednesday,Mechanical,5511,0
2,504,238,Wednesday,Late Leaving Garage,3374,0
2,501,242,Wednesday,Diversion,3081,1
2,503,467,Wednesday,Mechanical,15349,0
2,505,561,Wednesday,General Delay,14639,0
2,505,824,Wednesday,Utilized Off Route,2161,0
2,501,913,Wednesday,Mechanical,3080,0
2,506,973,Wednesday,Investigation,840,0
2,505,999,Wednesday,Mechanical,2194,0
2,503,1140,Wednesday,Investigation,1738,0
2,504,1152,Wednesday,Emergency Services,4141,0
2,510,1158,Wednesday,Investigation,14816,0
2,512,1211,Wednesday,Mechanical,14778,0
2,506,1227,Wednesday,Held By,1451,0
2,506,1302,Wednesday,Mechanical,14741,0
2,504,1345,Wednesday,General Delay,4163,0
2,512,87,Thursday,Held By,8169,1
2,505,423,Thursday,Mechanical,2194,0
2,505,427,Thursday,Emergency Services,2136,0
2,504,483,Thursday,Mechanical,14665,0
2,505,885,Thursday,Emergency Services,2119,0
2,505,915,Thursday,Mechanical,14639,0
2,503,1008,Thursday,Mechanical,2839,0
2,505,1017,Thursday,Emergency Services,14639,0
2,505,1222,Thursday,Investigation,2143,0
2,506,1390,Thursday,Held By,825,0
2,506,1411,Thursday,Mechanical,1252,0
2,501,474,Friday,Emergency Services,3067,0
2,504,482,Friday,Investigation,4142,0
2,512,565,Friday,Mechanical,14348,1
2,511,586,Friday,Emergency Services,186,0
2,505,596,Friday,Mechanical,2194,0
2,510,642,Friday,Investigation,11985,0
2,505,645,Friday,Mechanical,14639,0
2,506,773,Friday,General Delay,1117,0
2,506,844,Friday,Held By,754,1
2,504,853,Friday,Mechanical,14640,0
2,501,875,Friday,Investigation,3088,0
2,511,910,Friday,Investigation,16454,1
2,501,965,Friday,Mechanical,3065,0
2,504,1052,Friday,Mechanical,14640,0
2,505,1409,Friday,Mechanical,14639,0
2,511,51,Saturday,Mechanical,14619,0
2,509,344,Saturday,Overhead - Pantograph,13362,0
2,505,344,Saturday,Mechanical,14639,0
2,510,522,Saturday,Mechanical,7353,0
2,505,638,Saturday,Mechanical,14639,0
2,505,793,Saturday,Mechanical,2119,0
2,501,885,Saturday,General Delay,3088,0
2,501,897,Saturday,Held By,6859,0
2,501,1106,Saturday,Mechanical,6523,0
2,501,1364,Saturday,Mechanical,6523,0
2,505,1370,Saturday,Held By,14639,0
2,512,1434,Saturday,Investigation,16389,0
2,510,39,Sunday,Mechanical,10927,0
2,512,43,Sunday,Mechanical,14958,0
2,504,306,Sunday,Investigation,1756,0
2,504,366,Sunday,Mechanical,6849,0
2,504,536,Sunday,General Delay,15643,0
2,505,592,Sunday,Investigation,14639,0
2,510,621,Sunday,Investigation,7353,0
2,505,1014,Sunday,Mechanical,14639,0
2,504,1075,Sunday,Emergency Services,6849,0
2,501,1170,Sunday,Investigation,3039,1
2,512,1230,Sunday,Overhead - Pantograph,14958,1
2,506,1254,Sunday,Investigation,834,1
2,510,1420,Sunday,Mechanical,10927,0
2,504,1428,Sunday,Mechanical,14665,0
2,511,25,Monday,Mechanical,12584,0
2,501,322,Monday,Mechanical,6849,0
2,501,522,Monday,Utilized Off Route,6849,0
2,505,727,Monday,Mechanical,14639,0
2,511,818,Monday,Held By,16454,0
2,501,830,Monday,Mechanical,3065,0
2,501,852,Monday,Mechanical,3049,0
2,505,971,Monday,Mechanical,2194,0
2,501,1016,Monday,Investigation,6857,0
2,511,1136,Monday,Held By,110,0
2,505,1145,Monday,Utilized Off Route,2194,0
2,504,397,Tuesday,Held By,2428,0
2,505,557,Tuesday,General Delay,2136,0
2,505,636,Tuesday,General Delay,2194,0
2,505,720,Tuesday,Investigation,2194,0
2,505,721,Tuesday,General Delay,2136,0
2,511,792,Tuesday,Investigation,167,0
2,512,931,Tuesday,Investigation,8171,0
2,501,1004,Tuesday,Investigation,3052,0
2,510,1121,Tuesday,Held By,7349,0
